PLAYER_NAME,value_per_game
Jalen Smith,15.571428571428571
Jalen Suggs,20.863636363636363
Jalen Williams,26.2
Jalen Wilson,6.181818181818182
Jamal Cain,4.2727272727272725
Jamal Murray,34.25
Jamal Shead,12.457142857142857
Jamaree Bouyea,11.058823529411764
James Harden,35.064516129032256
James Wiseman,4.75
Jamir Watkins,5.428571428571429
Jamison Battle,4.84
Jarace Walker,13.647058823529411
Jared McCain,10.695652173913043
Jaren Jackson Jr.,23.967741935483872
Jarred Vanderbilt,10.454545454545455
Jarrett Allen,21.875
Jase Richardson,6.956521739130435
Javon Small,6.7272727272727275
Javonte Cooke,2.2
Javonte Green,9.676470588235293
Jaxson Hayes,10.576923076923077
Jay Huff,12.205882352941176
Jaylen Brown,37.12903225806452
Jaylen Clark,6.483870967741935
Jaylen Wells,16.818181818181817
Jaylin Williams,11.64
Jaylon Tyson,19.7
Jeff Green,2.5714285714285716
Jerami Grant,24.46153846153846
Jeremiah Fears,18.542857142857144
Jeremiah Robinson-Earl,9.941176470588236
Jeremy Sochan,8.476190476190476
Jericho Sims,6.851851851851852
Jett Howard,6.782608695652174
Jevon Carter,7.9375
Jimmy Butler III,28.566666666666666
Joan Beringer,2.6666666666666665
Jock Landale,17.258064516129032
Joe Ingles,0.5555555555555556
Joel Embiid,29.933333333333334
John Collins,16.71875
John Konchar,6.636363636363637
Johni Broome,3.5714285714285716
Johnny Furphy,6.9375
Johnny Juzang,2.9166666666666665
Jonas Valančiūnas,13.272727272727273
Jonathan Isaac,5.620689655172414
Jonathan Kuminga,18.055555555555557
Jonathan Mogbo,2.5384615384615383
Jordan Clarkson,12.696969696969697
Jordan Goodwin,14.233333333333333
Jordan Hawkins,6.846153846153846
Jordan McLaughlin,4.0
Jordan Miller,7.666666666666667
Jordan Poole,21.0
Jordan Walsh,11.642857142857142
Jose Alvarado,12.90625
Josh Giddey,33.6
Josh Green,8.333333333333334
Josh Hart,23.214285714285715
Josh Minott,11.142857142857142
Josh Okogie,9.451612903225806
Jrue Holiday,27.25
Julian Champagnie,16.424242424242426
Julian Phillips,4.304347826086956
Julian Strawther,5.25
Julius Randle,32.55882352941177
Justin Champagnie,11.8
Justin Edwards,7.535714285714286
Jusuf Nurkić,21.20689655172414
KJ Simpson,8.857142857142858
Kam Jones,4.0
Karl-Anthony Towns,34.12903225806452
Karlo Matković,8.090909090909092
Kasparas Jakučionis,6.666666666666667
Kawhi Leonard,36.34782608695652
Keaton Wallace,7.066666666666666
Keegan Murray,20.941176470588236
Kel'el Ware,22.5
Keldon Johnson,20.242424242424242
Kelly Olynyk,6.842105263157895
Kelly Oubre Jr.,21.666666666666668
Kenrich Williams,9.428571428571429
Kentavious Caldwell-Pope,12.40625
Keon Ellis,7.09375
Keshad Johnson,5.428571428571429
Kevin Durant,31.689655172413794
Kevin Huerter,16.428571428571427
Kevin Love,13.473684210526315
Kevin McCullar Jr.,5.333333333333333
Kevin Porter Jr.,28.066666666666666
Kevon Looney,8.5
Keyonte George,32.34375
Khaman Maluach,1.8666666666666667
Khris Middleton,15.666666666666666
Klay Thompson,14.125
Kobe Brown,5.636363636363637
Kobe Sanders,8.68
Koby Brea,3.5
Kon Knueppel,25.625
Kris Dunn,12.606060606060606
Kris Murray,10.225806451612904
Kristaps Porziņģis,26.285714285714285
Kyle Anderson,13.1
Kyle Filipowski,16.625
Kyle Kuzma,18.3125
Kyle Lowry,2.8
Kyshawn George,22.59259259259259
LaMelo Ball,30.130434782608695
Lachlan Olbrich,2.8
Landry Shamet,12.0
Larry Nance Jr.,7.0625
Lauri Markkanen,35.392857142857146
LeBron James,29.066666666666666
Leonard Miller,3.0833333333333335
Liam McNeeley,7.454545454545454
Lindy Waters III,3.235294117647059
Lonzo Ball,12.32
Luguentz Dort,12.04
Luka Dončić,45.958333333333336
Luka Garza,11.72
Luke Kennard,10.451612903225806
Luke Kornet,16.32
Luke Travers,4.833333333333333
Mac McClung,7.333333333333333
Malaki Branham,5.588235294117647
Malik Monk,14.275862068965518
Marcus Sasser,10.5
Marcus Smart,13.454545454545455
Mark Sears,3.142857142857143
Mark Williams,21.142857142857142
Marvin Bagley III,16.25925925925926
Mason Plumlee,5.214285714285714
Matas Buzelis,19.060606060606062
Matisse Thybulle,6.5
Max Christie,16.242424242424242
Maxi Kleber,3.75
Maxime Raynaud,17.03846153846154
Micah Peavy,7.137931034482759
Micah Potter,10.25
Michael Porter Jr.,34.30769230769231
Mikal Bridges,24.12121212121212
Mike Conley,9.241379310344827
Miles Bridges,28.40625
Miles Kelly,2.5
Miles McBride,16.454545454545453
Mitchell Robinson,13.590909090909092
Mo Bamba,0.0
Mohamed Diawara,3.4
Monte Morris,5.333333333333333
Moses Moody,14.78125
Mouhamed Gueye,8.588235294117647
Moussa Cisse,5.85
Moussa Diabaté,16.53125
Myles Turner,18.823529411764707
Myron Gardner,2.625
N'Faly Dante,2.25
Nae'Qwan Tomlin,9.5
Naji Marshall,19.285714285714285
Naz Reid,21.147058823529413
Neemias Queta,18.35483870967742
Nic Claxton,24.096774193548388
Nick Richards,6.115384615384615
Nick Smith Jr.,9.714285714285714
